Headline,Price,Date,Stock Direction
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,182.57,11/29/2022 10:58,1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,182.64,11/29/2022 11:03,1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,182.64,11/29/2022 11:03,1
Musk Says Apple Cutting Twitter Ads—Here Are The Other Companies Rethinking Their Ties ,182.64,11/29/2022 11:03,1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,182.64,11/29/2022 11:03,1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,183,11/29/2022 11:08,1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,183,11/29/2022 11:08,1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,183,11/29/2022 11:08,1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,182.92,11/29/2022 11:13,-1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,182.92,11/29/2022 11:13,-1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,182.92,11/29/2022 11:13,-1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,183.15,11/29/2022 11:17,1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,183.15,11/29/2022 11:17,1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,183.15,11/29/2022 11:17,1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,182.78,11/29/2022 11:22,-1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,182.78,11/29/2022 11:22,-1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,182.78,11/29/2022 11:22,-1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,182.91,11/29/2022 11:27,1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,182.91,11/29/2022 11:27,1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,182.91,11/29/2022 11:27,1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,182.92,11/29/2022 11:32,1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,182.92,11/29/2022 11:32,1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,182.92,11/29/2022 11:32,1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,182.56,11/29/2022 11:37,-1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,182.56,11/29/2022 11:37,-1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,182.56,11/29/2022 11:37,-1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,183.13,11/29/2022 11:41,1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,183.13,11/29/2022 11:41,1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,183.13,11/29/2022 11:41,1
Elon Musk's $50 billion trial comes to an end  ,183.27,11/29/2022 11:46,1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,183.27,11/29/2022 11:46,1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,183.27,11/29/2022 11:46,1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,183.27,11/29/2022 11:46,1
Elon Musk's $50 billion trial comes to an end  ,183.16,11/29/2022 11:51,-1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,183.16,11/29/2022 11:51,-1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,183.16,11/29/2022 11:51,-1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,183.16,11/29/2022 11:51,-1
Elon Musk's $50 billion trial comes to an end  ,182.75,11/29/2022 11:56,-1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,182.75,11/29/2022 11:56,-1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,182.75,11/29/2022 11:56,-1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,182.75,11/29/2022 11:56,-1
Elon Musk's $50 billion trial comes to an end  ,182.27,11/29/2022 12:00,-1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,182.27,11/29/2022 12:00,-1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,182.27,11/29/2022 12:00,-1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,182.27,11/29/2022 12:00,-1
Elon Musk's $50 billion trial comes to an end  ,182.13,11/29/2022 12:05,-1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,182.13,11/29/2022 12:05,-1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,182.13,11/29/2022 12:05,-1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,182.13,11/29/2022 12:05,-1
Elon Musk's $50 billion trial comes to an end  ,182.35,11/29/2022 12:10,1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,182.35,11/29/2022 12:10,1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,182.35,11/29/2022 12:10,1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,182.35,11/29/2022 12:10,1
Elon Musk's $50 billion trial comes to an end  ,182.34,11/29/2022 12:15,-1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,182.34,11/29/2022 12:15,-1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,182.34,11/29/2022 12:15,-1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,182.34,11/29/2022 12:15,-1
Elon Musk's $50 billion trial comes to an end  ,181.77,11/29/2022 12:20,-1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,181.77,11/29/2022 12:20,-1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,181.77,11/29/2022 12:20,-1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,181.77,11/29/2022 12:20,-1
Elon Musk's $50 billion trial comes to an end  ,181.18,11/29/2022 12:25,-1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,181.18,11/29/2022 12:25,-1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,181.18,11/29/2022 12:25,-1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,181.18,11/29/2022 12:25,-1
Elon Musk's $50 billion trial comes to an end  ,180.6,11/29/2022 12:30,-1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,180.6,11/29/2022 12:30,-1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,180.6,11/29/2022 12:30,-1
Disney CEO Iger Shuts Down Apple Merger Rumors Sticks By Hiring Freeze ,180.6,11/29/2022 12:30,-1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,180.6,11/29/2022 12:30,-1
Elon Musk's $50 billion trial comes to an end  ,180.7,11/29/2022 12:35,1
DeSantis Attacks Apple For Allegedly Threatening To Remove Musk-Run Twitter From App Store—Joining Other Republicans ,180.7,11/29/2022 12:35,1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,180.7,11/29/2022 12:35,1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,180.7,11/29/2022 12:35,1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,180.7,11/29/2022 12:35,1
Elon Musk's $50 billion trial comes to an end  ,180.38,11/29/2022 12:40,-1
DeSantis Attacks Apple For Allegedly Threatening To Remove Musk-Run Twitter From App Store—Joining Other Republicans ,180.38,11/29/2022 12:40,-1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,180.38,11/29/2022 12:40,-1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,180.38,11/29/2022 12:40,-1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,180.38,11/29/2022 12:40,-1
Elon Musk's $50 billion trial comes to an end  ,180.59,11/29/2022 12:44,1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,180.59,11/29/2022 12:44,1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,180.59,11/29/2022 12:44,1
Disney CEO Iger Shuts Down Apple Merger Rumors Sticks By Hiring Freeze ,180.59,11/29/2022 12:44,1
Twitter Under Elon Musk Abandons Covid-19 Misinformation Policy ,180.59,11/29/2022 12:44,1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,180.59,11/29/2022 12:44,1
Elon Musk's $50 billion trial comes to an end  ,180.06,11/29/2022 12:51,-1
DeSantis Attacks Apple For Allegedly Threatening To Remove Musk-Run Twitter From App Store—Joining Other Republicans ,180.06,11/29/2022 12:51,-1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,180.06,11/29/2022 12:51,-1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,180.06,11/29/2022 12:51,-1
China’s Latest Rocket Sends New Crew to Finish Tiangong Space Station ,180.06,11/29/2022 12:51,-1
Twitter Under Elon Musk Abandons Covid-19 Misinformation Policy ,180.06,11/29/2022 12:51,-1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,180.06,11/29/2022 12:51,-1
Elon Musk's $50 billion trial comes to an end  ,179.44,11/29/2022 12:56,-1
DeSantis Attacks Apple For Allegedly Threatening To Remove Musk-Run Twitter From App Store—Joining Other Republicans ,179.44,11/29/2022 12:56,-1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,179.44,11/29/2022 12:56,-1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,179.44,11/29/2022 12:56,-1
China’s Latest Rocket Sends New Crew to Finish Tiangong Space Station ,179.44,11/29/2022 12:56,-1
Twitter Under Elon Musk Abandons Covid-19 Misinformation Policy ,179.44,11/29/2022 12:56,-1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,179.44,11/29/2022 12:56,-1
Elon Musk's $50 billion trial comes to an end  ,180.26,11/29/2022 13:01,1
DeSantis Attacks Apple For Allegedly Threatening To Remove Musk-Run Twitter From App Store—Joining Other Republicans ,180.26,11/29/2022 13:01,1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,180.26,11/29/2022 13:01,1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,180.26,11/29/2022 13:01,1
China’s Latest Rocket Sends New Crew to Finish Tiangong Space Station ,180.26,11/29/2022 13:01,1
Twitter Under Elon Musk Abandons Covid-19 Misinformation Policy ,180.26,11/29/2022 13:01,1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,180.26,11/29/2022 13:01,1
Elon Musk's $50 billion trial comes to an end  ,180.25,11/29/2022 13:06,-1
DeSantis Attacks Apple For Allegedly Threatening To Remove Musk-Run Twitter From App Store—Joining Other Republicans ,180.25,11/29/2022 13:06,-1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,180.25,11/29/2022 13:06,-1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,180.25,11/29/2022 13:06,-1
China’s Latest Rocket Sends New Crew to Finish Tiangong Space Station ,180.25,11/29/2022 13:06,-1
Twitter Under Elon Musk Abandons Covid-19 Misinformation Policy ,180.25,11/29/2022 13:06,-1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,180.25,11/29/2022 13:06,-1
Elon Musk's $50 billion trial comes to an end  ,180.22,11/29/2022 13:11,-1
DeSantis Attacks Apple For Allegedly Threatening To Remove Musk-Run Twitter From App Store—Joining Other Republicans ,180.22,11/29/2022 13:11,-1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,180.22,11/29/2022 13:11,-1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,180.22,11/29/2022 13:11,-1
China’s Latest Rocket Sends New Crew to Finish Tiangong Space Station ,180.22,11/29/2022 13:11,-1
Twitter Under Elon Musk Abandons Covid-19 Misinformation Policy ,180.22,11/29/2022 13:11,-1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,180.22,11/29/2022 13:11,-1
Elon Musk's $50 billion trial comes to an end  ,180.11,11/29/2022 13:16,-1
DeSantis Attacks Apple For Allegedly Threatening To Remove Musk-Run Twitter From App Store—Joining Other Republicans ,180.11,11/29/2022 13:16,-1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,180.11,11/29/2022 13:16,-1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,180.11,11/29/2022 13:16,-1
China’s Latest Rocket Sends New Crew to Finish Tiangong Space Station ,180.11,11/29/2022 13:16,-1
Twitter Under Elon Musk Abandons Covid-19 Misinformation Policy ,180.11,11/29/2022 13:16,-1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,180.11,11/29/2022 13:16,-1
Elon Musk's $50 billion trial comes to an end  ,180.27,11/29/2022 13:21,1
DeSantis Attacks Apple For Allegedly Threatening To Remove Musk-Run Twitter From App Store—Joining Other Republicans ,180.27,11/29/2022 13:21,1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,180.27,11/29/2022 13:21,1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,180.27,11/29/2022 13:21,1
China’s Latest Rocket Sends New Crew to Finish Tiangong Space Station ,180.27,11/29/2022 13:21,1
Twitter Under Elon Musk Abandons Covid-19 Misinformation Policy ,180.27,11/29/2022 13:21,1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,180.27,11/29/2022 13:21,1
Elon Musk's $50 billion trial comes to an end  ,179.95,11/29/2022 13:25,-1
DeSantis Attacks Apple For Allegedly Threatening To Remove Musk-Run Twitter From App Store—Joining Other Republicans ,179.95,11/29/2022 13:25,-1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,179.95,11/29/2022 13:25,-1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,179.95,11/29/2022 13:25,-1
China’s Latest Rocket Sends New Crew to Finish Tiangong Space Station ,179.95,11/29/2022 13:25,-1
Twitter Under Elon Musk Abandons Covid-19 Misinformation Policy ,179.95,11/29/2022 13:25,-1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,179.95,11/29/2022 13:25,-1
Elon Musk's $50 billion trial comes to an end  ,180.25,11/29/2022 13:30,1
DeSantis Attacks Apple For Allegedly Threatening To Remove Musk-Run Twitter From App Store—Joining Other Republicans ,180.25,11/29/2022 13:30,1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,180.25,11/29/2022 13:30,1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,180.25,11/29/2022 13:30,1
China’s Latest Rocket Sends New Crew to Finish Tiangong Space Station ,180.25,11/29/2022 13:30,1
Twitter Under Elon Musk Abandons Covid-19 Misinformation Policy ,180.25,11/29/2022 13:30,1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,180.25,11/29/2022 13:30,1
Elon Musk's $50 billion trial comes to an end  ,179.97,11/29/2022 13:35,-1
DeSantis Attacks Apple For Allegedly Threatening To Remove Musk-Run Twitter From App Store—Joining Other Republicans ,179.97,11/29/2022 13:35,-1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,179.97,11/29/2022 13:35,-1
MyPillow CEO Mike Lindell Will Run For GOP Chair—Here’s Who Else He May Be Up Against ,179.97,11/29/2022 13:35,-1
China’s Latest Rocket Sends New Crew to Finish Tiangong Space Station ,179.97,11/29/2022 13:35,-1
Twitter Under Elon Musk Abandons Covid-19 Misinformation Policy ,179.97,11/29/2022 13:35,-1
Elon Musk’s Apple Attack Sets Stage for Public Spat  ,179.97,11/29/2022 13:35,-1
Elon Musk's $50 billion trial comes to an end  ,179.91,11/29/2022 13:40,-1
DeSantis Attacks Apple For Allegedly Threatening To Remove Musk-Run Twitter From App Store—Joining Other Republicans ,179.91,11/29/2022 13:40,-1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,179.91,11/29/2022 13:40,-1
Will Smith Concerned Audiences Will ‘Penalize’ New Film ‘Emancipation’ Because Of Oscars Slap ,179.91,11/29/2022 13:40,-1
China’s Latest Rocket Sends New Crew to Finish Tiangong Space Station ,179.91,11/29/2022 13:40,-1
Twitter Under Elon Musk Abandons Covid-19 Misinformation Policy ,179.91,11/29/2022 13:40,-1
Elon Musk's $50 billion trial comes to an end  ,179.85,11/29/2022 13:45,-1
DeSantis Attacks Apple For Allegedly Threatening To Remove Musk-Run Twitter From App Store—Joining Other Republicans ,179.85,11/29/2022 13:45,-1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,179.85,11/29/2022 13:45,-1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,179.85,11/29/2022 13:45,-1
China’s Latest Rocket Sends New Crew to Finish Tiangong Space Station ,179.85,11/29/2022 13:45,-1
Twitter Under Elon Musk Abandons Covid-19 Misinformation Policy ,179.85,11/29/2022 13:45,-1
Elon Musk's $50 billion trial comes to an end  ,179.64,11/29/2022 13:49,-1
DeSantis Attacks Apple For Allegedly Threatening To Remove Musk-Run Twitter From App Store—Joining Other Republicans ,179.64,11/29/2022 13:49,-1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,179.64,11/29/2022 13:49,-1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,179.64,11/29/2022 13:49,-1
China’s Latest Rocket Sends New Crew to Finish Tiangong Space Station ,179.64,11/29/2022 13:49,-1
Twitter Under Elon Musk Abandons Covid-19 Misinformation Policy ,179.64,11/29/2022 13:49,-1
Elon Musk's $50 billion trial comes to an end  ,179.87,11/29/2022 13:54,1
DeSantis Attacks Apple For Allegedly Threatening To Remove Musk-Run Twitter From App Store—Joining Other Republicans ,179.87,11/29/2022 13:54,1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,179.87,11/29/2022 13:54,1
Elon Musk Says Apple ‘Threatened’ To Boot Twitter From App Store—Here’s Why That Might Happen ,179.87,11/29/2022 13:54,1
China’s Latest Rocket Sends New Crew to Finish Tiangong Space Station ,179.87,11/29/2022 13:54,1
Twitter Under Elon Musk Abandons Covid-19 Misinformation Policy ,179.87,11/29/2022 13:54,1
Elon Musk's $50 billion trial comes to an end  ,179.47,11/29/2022 13:59,-1
DeSantis Attacks Apple For Allegedly Threatening To Remove Musk-Run Twitter From App Store—Joining Other Republicans ,179.47,11/29/2022 13:59,-1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,179.47,11/29/2022 13:59,-1
Will Smith Concerned Audiences Will ‘Penalize’ New Film ‘Emancipation’ Because Of Oscars Slap ,179.47,11/29/2022 13:59,-1
China’s Latest Rocket Sends New Crew to Finish Tiangong Space Station ,179.47,11/29/2022 13:59,-1
Twitter Under Elon Musk Abandons Covid-19 Misinformation Policy ,179.47,11/29/2022 13:59,-1
Elon Musk's $50 billion trial comes to an end  ,179.26,11/29/2022 14:04,-1
DeSantis Attacks Apple For Allegedly Threatening To Remove Musk-Run Twitter From App Store—Joining Other Republicans ,179.26,11/29/2022 14:04,-1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,179.26,11/29/2022 14:04,-1
China’s Latest Rocket Sends New Crew to Finish Tiangong Space Station ,179.26,11/29/2022 14:04,-1
Twitter Under Elon Musk Abandons Covid-19 Misinformation Policy ,179.26,11/29/2022 14:04,-1
Elon Musk's $50 billion trial comes to an end  ,179.57,11/29/2022 14:09,1
DeSantis Attacks Apple For Allegedly Threatening To Remove Musk-Run Twitter From App Store—Joining Other Republicans ,179.57,11/29/2022 14:09,1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,179.57,11/29/2022 14:09,1
Will Smith Concerned Audiences Will ‘Penalize’ New Film ‘Emancipation’ Because Of Oscars Slap ,179.57,11/29/2022 14:09,1
China’s Latest Rocket Sends New Crew to Finish Tiangong Space Station ,179.57,11/29/2022 14:09,1
Twitter Under Elon Musk Abandons Covid-19 Misinformation Policy ,179.57,11/29/2022 14:09,1
Elon Musk's $50 billion trial comes to an end  ,179.61,11/29/2022 14:14,1
DeSantis Attacks Apple For Allegedly Threatening To Remove Musk-Run Twitter From App Store—Joining Other Republicans ,179.61,11/29/2022 14:14,1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,179.61,11/29/2022 14:14,1
Will Smith Concerned Audiences Will ‘Penalize’ New Film ‘Emancipation’ Because Of Oscars Slap ,179.61,11/29/2022 14:14,1
China’s Latest Rocket Sends New Crew to Finish Tiangong Space Station ,179.61,11/29/2022 14:14,1
Twitter Under Elon Musk Abandons Covid-19 Misinformation Policy ,179.61,11/29/2022 14:14,1
Elon Musk's $50 billion trial comes to an end  ,179.78,11/29/2022 14:18,1
DeSantis Attacks Apple For Allegedly Threatening To Remove Musk-Run Twitter From App Store—Joining Other Republicans ,179.78,11/29/2022 14:18,1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,179.78,11/29/2022 14:18,1
Will Smith Concerned Audiences Will ‘Penalize’ New Film ‘Emancipation’ Because Of Oscars Slap ,179.78,11/29/2022 14:18,1
China’s Latest Rocket Sends New Crew to Finish Tiangong Space Station ,179.78,11/29/2022 14:18,1
Twitter Under Elon Musk Abandons Covid-19 Misinformation Policy ,179.78,11/29/2022 14:18,1
Elon Musk's $50 billion trial comes to an end  ,180.28,11/29/2022 14:23,1
DeSantis Attacks Apple For Allegedly Threatening To Remove Musk-Run Twitter From App Store—Joining Other Republicans ,180.28,11/29/2022 14:23,1
Twitter Stops Enforcing Covid-19 Misinformation Policy ,180.28,11/29/2022 14:23,1
Will Smith Concerned Audiences Will ‘Penalize’ New Film ‘Emancipation’ Because Of Oscars Slap ,180.28,11/29/2022 14:23,1
China’s Latest Rocket Sends New Crew to Finish Tiangong Space Station ,180.28,11/29/2022 14:23,1
Twitter Under Elon Musk Abandons Covid-19 Misinformation Policy ,180.28,11/29/2022 14:23,1
Former top official at Twitter speaks out after working with Musk  ,183.35,11/30/2022 10:11,1
Elon Musk's $50 billion trial comes to an end  ,183.35,11/30/2022 10:11,1
Twitter Blue Launch Reportedly Delayed—Again—As Musk Takes Issue With Apple Store Fees ,183.35,11/30/2022 10:11,1
DeSantis Attacks Apple For Allegedly Threatening To Remove Musk-Run Twitter From App Store—Joining Other Republicans ,183.35,11/30/2022 10:11,1
Housing Market Decline: Home Prices Continued Three-Month Decrease In September ,183.35,11/30/2022 10:11,1
U.S.-Backed Researchers Use AI to Probe for Weaknesses in Drug Supply Chains ,183.35,11/30/2022 10:11,1
